service_id,service_name,timestamp,status_code,latency,latency_unit,agent,region
svc-reports,reports-api,2025-05-13T12:45:00Z,200,707,ms,agent-1,ap-south-1
svc-search,search-api,2025-05-10T15:45:00Z,200,0.717,s,agent-1,ap-south-1
svc-payments,payments-api,2025-05-09T10:15:00Z,200,377,ms,agent-1,ap-south-1
svc-reports,reports-api,2025-05-16T00:00:00Z,200,616,ms,agent-1,ap-south-1
svc-notify,notify-worker,2025-05-08T20:30:00Z,200,,ms,agent-1,ap-south-1
svc-notify,notify-worker,2025-05-14T10:15:00Z,200,137,ms,agent-1,ap-south-1
svc-payments,payments-api,1746938700,200,285,ms,agent-1,ap-south-1
svc-notify,notify-worker,2025-05-16T02:45:00Z,200,120,ms,agent-1,ap-south-1
svc-auth,auth-api,2025-05-14T18:00:00Z,200,181,ms,agent-1,ap-south-1
svc-payments,payments-api,2025-05-10T08:45:00Z,200,467,ms,agent-1,ap-south-1
svc-notify,notify-worker,2025-05-14T07:00:00Z,200,132,ms,agent-1,ap-south-1
svc-reports,reports-api,2025-05-08T11:30:00Z,200,857,ms,agent-1,ap-south-1
svc-payments,payments-api,2025-05-16T06:45:00Z,200,293,ms,agent-1,ap-south-1
svc-search,search-api,1747319400,200,0.561,s,agent-1,ap-south-1
svc-notify,notify-worker,2025-05-08T04:45:00Z,200,129,ms,agent-1,ap-south-1
svc-payments,payments-api,2025-05-14T15:45:00Z,200,461,ms,agent-1,ap-south-1
svc-notify,notify-worker,2025-05-08T10:30:00Z,200,97,ms,agent-1,ap-south-1
svc-auth,auth-api,2025-05-13T08:30:00Z,200,177,ms,agent-2,ap-south-1
svc-notify,notify-worker,2025-05-08T12:15:00Z,200,143,ms,agent-1,ap-south-1
svc-payments,payments-api,2025-05-10T07:15:00Z,200,427,ms,agent-1,ap-south-1
svc-reports,reports-api,2025-05-14T03:30:00Z,200,636,ms,agent-1,ap-south-1
svc-notify,notify-worker,2025-05-08T15:30:00Z,200,147,ms,agent-1,ap-south-1
svc-payments,payments-api,2025-05-16T12:15:00Z,200,412,ms,agent-1,ap-south-1
svc-payments,payments-api,2025-05-11T06:45:00Z,200,478,ms,agent-1,ap-south-1
svc-auth,auth-api,2025-05-16T09:30:00Z,200,178,ms,agent-1,ap-south-1
svc-search,search-api,2025-05-14T10:00:00Z,200,,s,agent-1,ap-south-1
svc-auth,auth-api,2025-05-12T16:00:00Z,200,137,ms,agent-1,ap-south-1
svc-payments,payments-api,2025-05-16T22:00:00Z,200,381,ms,agent-1,ap-south-1
svc-search,search-api,2025-05-16T16:15:00Z,200,0.598,s,agent-1,ap-south-1
svc-search,search-api,2025-05-15T17:45:00Z,200,0.408,s,agent-2,ap-south-1
svc-payments,payments-api,2025-05-14T14:45:00Z,200,468,ms,agent-2,ap-south-1
svc-search,search-api,2025-05-08T11:00:00Z,200,0.512,s,agent-1,ap-south-1
svc-auth,auth-api,2025-05-16T03:30:00Z,200,190,ms,agent-1,ap-south-1
svc-payments,payments-api,2025-05-09T01:15:00Z,200,330,ms,agent-1,ap-south-1
svc-auth,auth-api,2025-05-13T17:15:00Z,200,148,ms,agent-1,ap-south-1
svc-reports,reports-api,2025-05-15T15:00:00Z,200,515,ms,agent-1,ap-south-1
svc-notify,notify-worker,2025-05-10T15:30:00Z,200,103,ms,agent-1,ap-south-1
svc-notify,notify-worker,2025-05-10T12:45:00Z,200,84,ms,agent-1,ap-south-1
svc-auth,auth-api,2025-05-14T02:00:00Z,200,190,ms,agent-1,ap-south-1
svc-notify,notify-worker,2025-05-08T21:15:00Z,200,95,ms,agent-1,ap-south-1
svc-reports,reports-api,2025-05-11T03:30:00Z,200,472,ms,agent-1,ap-south-1
svc-auth,auth-api,2025-05-10T00:45:00Z,200,171,ms,agent-1,ap-south-1
svc-payments,payments-api,2025-05-10T13:30:00Z,200,343,ms,agent-1,ap-south-1
svc-payments,payments-api,2025-05-12T16:45:00Z,200,456,ms,agent-1,ap-south-1
svc-reports,reports-api,2025-05-11T07:30:00Z,200,,ms,agent-1,ap-south-1
svc-reports,reports-api,2025-05-09T04:45:00Z,200,576,ms,agent-1,ap-south-1
svc-auth,auth-api,2025-05-14T13:30:00Z,200,155,ms,agent-1,ap-south-1
svc-payments,payments-api,2025-05-11T07:45:00Z,200,375,ms,agent-1,ap-south-1
svc-reports,reports-api,2025-05-13T02:15:00Z,200,796,ms,agent-1,ap-south-1
svc-reports,reports-api,2025-05-13T02:00:00+05:30,200,821,ms,agent-1,ap-south-1
